mbid,listeners,playcount
253c9ae7-850b-46be-8fbb-65e9fa621058,1505697,129353764
c8b03190-306c-4120-bb0b-6f2ebfc06ea9,5052236,1031561208
20ff3303-4fe2-4a47-a1b6-291e26aa3438,2344962,36399600
0ab49580-c84f-44d4-875f-d83760ea2cfe,6383434,268337096
8a1c3e7b-e579-416e-bcce-3a782a33dc72,0,0
d9b5ba88-b57b-43d6-9ff1-51f53cbbf815,0,0
7cc42035-7d57-4f0b-be72-28fe90284f10,64,461
c485632c-b784-4ee9-8ea1-c5fb365681fc,5086767,211226851
418fe547-4bec-48fe-8df0-ed25e27f4570,1072305,55687204
a96d82a0-cdca-40bf-b4c8-3d7ec178d85b,1539411,22813681
0351a187-ef26-474a-a090-4e9f0fb1f84f,0,0
ffbd09fd-30ca-4941-8e83-968c31076891,51137,263442
c37dcec0-48f7-4e35-9a69-cbb81213cd09,0,0
58cb5169-ad58-4820-baf0-63f6dbd94eb9,3,16
2386cd66-e923-4e8e-bf14-2eebe2e9b973,3464369,87144563
c6ecb060-2a9f-43b4-a657-440150548c6d,235,1251
144189b9-e06f-46bd-9cbf-71c2b9aec28c,0,0
ef326b3d-61f0-4379-aca0-21237d696d63,1496413,428880701
e4a51f17-a57b-47b1-b37b-f552d0f8e9e6,3156895,633924383
92a42e82-b36f-4308-82c1-68bad2e03c89,1979118,50228510
9b46bd1f-2f9e-46bb-9a68-4e24c644a137,72977,626288
ded9fa6b-5141-486a-bc12-51c313e606b9,2211,9441
b5e59918-1d97-4f80-829c-a2db9f531faf,0,0
5c882e22-3467-4cc3-8c77-6595288f3b39,2385,10690
f1f81989-dfa9-4bd3-805e-dcf3900c43e3,189645,1990393
48b2fec4-8262-4834-9bf4-75be00bb9993,40,285
80cadd99-f560-41e3-babd-16292bbd248a,3108306,192782063
7808accb-6395-4b25-858c-678bbb73896b,2307406,88216607
aead4f9a-43cb-4223-af9c-83048d9c1984,10151,117457
a1397091-6ac0-4c6e-bd55-de0d62f52d12,1446,13781
3765dccd-b659-4298-9211-15c3f73b40bf,58855,475062
96800e05-9924-4321-859a-76e0d4750f2f,819030,43549776
b940b832-506c-45ef-9f3a-40d5d053eb27,199,448
00136dd9-1047-4999-af1f-d709c5fa09f9,6887,30769
4e954b02-fae2-4bd7-9547-e055a6ac0527,864551,16993096
83d91898-7763-47d7-b03b-b92132375c47,5351208,584234256
c7020c6d-cae9-4db3-92a7-e5c561cbad50,3900110,113781529
2ba21c9c-e36b-4031-a4c3-20d925d226d3,41,133
f8e12ed8-1d24-431a-b7c9-b8dd6db867ff,53,199
b1570544-93ab-4b2b-8398-131735394202,3030843,226932616
a2dce1c9-f3ed-4022-a742-ae14d91f32cc,0,0
905a8f9b-03dc-4f47-b9bb-ecce7ea13ab1,98693,424158
ff4c8d42-4871-4778-885b-d41b01245133,201704,1336265
ac6cc156-eb47-4c98-9b04-b57ece512950,20383,51996
2c418d76-0069-4bb5-bd13-bed68da3ba25,1,4
ec3e1298-23c5-4c39-bb2b-ae6a588afdeb,352872,3489009
c5f259d0-abd8-418e-81ee-3965fd4e4e9a,1991624,26100520
1b0ae75d-8006-4656-9408-8e1b02424ed0,19,57
3e308b4a-c8d0-4883-8c38-e2953002a882,3,5
d9b295f1-9634-47bf-a290-b3d91681a88d,0,0
791da60e-0108-4400-9e84-ca2fe8e74b64,0,0
aa659468-db56-41c9-b6fe-61f4bb2ef1a6,0,0
cff102cc-236f-4936-a1b7-0e80a1d28ff7,45022,167532
c53f2749-4c19-48fa-b99b-5f4c11297b2c,3290,16120
8b98f267-a203-4e69-a6cb-996d4cfecaf7,106033,456283
5a69d52e-e9ac-40cf-8b94-d2576c66ef85,0,0
711cf846-2944-477d-b841-4189792d25b4,0,0
88991326-cbc7-4a03-b4f4-94e4a859b6c8,1,1
5a052a86-65e5-4ac6-9a43-3008a1fb3881,299,1444
e8674a18-6b6c-4a88-9252-d7f8661bd671,90,318
3394771a-a36b-4739-bcd9-301d09121af8,707,2707
1ee7489a-af64-4ca2-9041-c1d8588b3a97,10106,57404
87ae83df-6173-40cc-a0f2-bad543faa6aa,1402840,51510305
05ec340f-c772-4995-9256-092c6931d098,152477,1299039
817c68f4-e110-4529-82fa-aec902e9768f,637306,10194711
bdacc37b-8633-4bf8-9dd5-4662ee651aec,2303704,134857020
ff1cafa3-7ed4-4ed2-afbb-d1f263d607a8,1153062,38551734
39787cc4-b614-485b-86f2-91c99ddf2f93,129,517
28737730-ec70-4da5-89c5-77ac13c5c34d,2191631,90677331
7cb6e306-a75b-48b4-be00-2c4aa6bbe3a8,1198918,28049339
15d7ee5c-f9eb-4a3a-9721-0edb0b21f168,67547,513826
ab13b249-4880-4538-980f-c9e48bed1844,0,0
1c26f82c-b35d-4c8e-a1f4-9c20747495c9,1113569,135167754
7d661adb-5d8c-421a-aee1-bb6f4c0c0992,3431,23482
d9550ac2-7bcf-4655-a3fe-24922e254a74,586119,95075536
7e959acc-3f7f-434f-ae8f-aeadf92bad80,90553,640553
260b6184-8828-48eb-945c-bc4cb6fc34ca,3545973,643671856
a9ee533f-8871-4f62-a6bb-91eb264abc90,2638159,167735469
e0ffdd76-aef8-48ed-b850-b83208589dca,16,151
02669ae0-7b21-4648-8a2e-04a28aaba9d1,10,15
7e2900f1-2c19-4371-9bd5-4c07826f45ef,1,2
e70235d5-f15f-4750-b916-42aadcd579a7,2,5
2b1ec960-982a-450d-a27b-d7a77a1b40ac,276202,4301835
2ffba2ce-d1ec-4a83-bafc-f515577cc106,10620,60376
1edc84fc-d7af-401f-876f-954d2a02209e,1182,2888
af49ecbb-a0b9-4805-9cec-f97eac794c81,1244,8028
43225337-b9fa-4fc5-b4cc-990b72fd149b,0,0
60206a25-37e1-4617-b036-71f8a965412e,7,9
1e4e9db7-5068-4a9c-bdd0-5777e47172c8,1560159,128994308
56576619-c9e0-4e66-b2cc-f9795025448e,74415,788989
0eb93ee5-2e6a-4ab4-a988-99c9139a664a,83,617
c33c2065-b1c3-4406-b066-d33a9e2ea71a,4171017,129983941
2342146c-053a-42c5-8618-d87474d01a5e,12,58
49204a7a-ed85-407a-828f-6fd46f1d8126,1660603,301612367
71bcb5be-394c-4c04-bb38-35982e8a94d3,106549,905958
618b6900-0618-4f1e-b835-bccb17f84294,3345918,79870206
44cc2d70-819d-4fb1-a65c-5c693419eea0,36568,238308
37d0a847-32d3-480f-bd1e-101f50a3d332,2350065,52399987
f0e17f11-0748-447b-8dc2-ec44d2425650,83,2377
e9f2c808-cf43-4d52-be4d-ea3311f0a4d9,8232,70037
8ef1df30-ae4f-4dbd-9351-1a32b208a01e,4060588,98165315
ecbe0f51-b540-498e-907d-bfaf2fdb75b0,143816,704723
035bc391-d7dd-4a68-8321-fa1e02697fc8,351,921
b787b4f2-ad08-43ba-845b-c3393a8079eb,43214,256762
e09bfd0b-2118-4bf4-bd4e-1d5e245e6d02,37666,204524
bfeb843d-d3b1-4308-b81a-8dce7c2eecbe,84,544
8aa5b65a-5b3c-4029-92bf-47a544356934,3007891,90842487
4bbc8087-548d-4484-abd2-5b1f4c1a7940,364491,3474606
c1708d03-8a66-46eb-848e-fe0d233ffb39,0,0
48878cad-3a64-42cd-998b-72d37631c9f6,353,1504
5c1fdfd8-20de-4eca-846e-478d9252c32d,55,450
13d92e1d-d230-4827-84ba-14643630751d,247,495
23207c32-6743-4982-9f46-e297b2e4eb14,463242,4161218
79b3801c-f1eb-46c4-b486-4d42cb691d25,0,0
f58094e4-5c56-4421-abde-e83253b5f581,0,0
99e1e676-31a5-4c0f-8e36-05553532f9fa,8442,40505
e6c48159-cd80-499a-af7b-bbd92cc057b9,30070,202173
f084dc81-1b43-42cc-aeb4-6888b530c66b,10,31
f09efc2c-210d-4a94-909a-20a233a75ec6,33232,424428
c141b586-6892-4af6-9a50-2005df8b94da,0,0
f5dfa020-ad69-41cd-b3d4-fd7af0414e94,3751506,85351393
d385327c-34d8-4259-8f16-d6939ec99ebb,3,44
0cbf7f60-2e29-4b92-a5ec-5b913b630cd6,3143,19912
cf0dbc16-4e24-4957-b5b4-955c8978f690,740575,192094135
21e6aab7-8077-4351-b013-f3f29772714c,7,7
ce8dbfe4-3ce7-41e9-9bb3-13e35c053318,151652,1521586
