rank,name,mbid,listeners,playcount
106,Alex G,7df4c4de-3181-4a69-bd36-9d663970cebb,1912706,226293260
107,LE SSERAFIM,1ee37742-1e3d-4e61-84d2-bc85f4c1459a,1422598,227305006
108,Lil Wayne,ac9a487a-d9d2-4f27-bb23-0f4686488345,3378824,154667216
109,David Guetta,302bd7b9-d012-4360-897a-93b00c855680,4983522,176448695
110,Kesha,fab34286-b8e1-4879-bce3-194e1358fbd2,2913993,105287755
111,Nicki Minaj,1036b808-f58c-4a3e-b461-a2c4492ecf1b,4569713,294208276
112,Miley Cyrus,7e9bd05a-117f-4cce-87bc-e011527a8b18,4641901,284835470
113,Weezer,6fe07aa5-fec0-4eca-a456-f29bff451b04,5174575,273943098
114,ABBA,d87e52c5-bb8d-4da8-b941-9f4928627dc8,4134630,174429836
115,Adele,cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493,5415397,304891738
116,Limp Bizkit,8f9d6bb2-dba4-4cca-9967-cc02b9f4820c,3921996,162010763
117,The 1975,5b6ebfe0-f72b-4902-bba9-74c8af0f1af0,2510101,277611809
118,21 Savage,37b2cb82-ef79-4d46-a184-a549450aa231,2166252,202387095
119,Metallica,65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab,4970533,511420815
120,Nelly Furtado,13655113-cd16-4b43-9dca-cadbbf26ee05,4600182,108867759
121,One Direction,1a425bbd-cca4-4b2c-aeb7-71cb176c828a,3088988,294409239
122,Muse,9c9f1380-2516-4fc9-a3e6-f9f61941d090,6161095,550877739
123,Ed Sheeran,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,4008701,242624613
124,David Bowie,5441c29d-3602-4898-b1a1-b77fa23b8e50,5374403,384316529
125,The Killers,95e1ead9-4d31-4808-a7ac-32c3614c116b,6702862,366123253
126,PARTYNEXTDOOR,f23ef341-33bd-47c1-b83c-846a78581f05,1830362,141548801
127,Slipknot,a466c2a2-6517-42fb-a160-1087c3bafd9f,4043603,339018632
128,Phoebe Bridgers,96855c21-b832-4366-ba12-0d2330c36a86,2016084,267195393
129,Brent Faiyaz,201412c6-7ced-472b-87a9-9259ec3c07d3,1902565,207567228
130,Marina,cbf7888b-30db-48a8-8575-1d4b1df41af0,2065819,164115700
131,Trippie Redd,8032cf05-d916-4b2a-9c53-6e75d4a24bd8,1742958,172229544
132,Beach House,d5cc67b8-1cc4-453b-96e8-44487acdebea,3326149,228010100
133,Billy Joel,64b94289-9474-4d43-8c93-918ccc1920d1,3847546,117661018
134,Juice WRLD,4e4ebde4-0c56-4dec-844b-6c73adcdd92d,2325772,480016840
135,Yeat,9e6a6a2f-f696-4cc0-87f1-e4f712e46802,1470802,328605214
136,Tory Lanez,5b8ec72b-9e39-4a06-a2bf-964166b92a71,1819498,129156180
137,bôa,ca1dcba2-792c-4550-abf2-7b45396e81ca,1890841,71795093
138,Pitbull,d262ea27-3ffe-40f7-b922-85c42d625e67,4144761,96728029
139,Doechii,9f75277c-b283-4846-ac8c-f932255cd0ac,1835617,82350980
140,Mazzy Star,c48d4327-8122-4286-af66-05e1ee6ac4d8,2528045,97968166
141,Madison Beer,749ef494-8518-4b49-b685-63d8e728d25c,1468270,85264427
142,Oasis,39ab1aed-75e0-4140-bd47-540276886b60,5665114,306480331
143,Foo Fighters,67f66c07-6e61-4026-ade5-7e782fad3a5d,6167051,350314894
144,Faye Webster,ce4a1c08-6912-423f-bf6c-97ce69f5e89f,1651754,119298561
145,Young Thug,800760de-bdf8-43a2-8fe0-44a2401a5515,1771237,175541185
146,Chris Brown,c234fa42-e6a6-443e-937e-2f4b073538a3,4586254,145925783
147,The Kid LAROI,80609a00-b394-4a49-975b-2db6b543fa97,2312098,142954219
148,Gunna,100b8734-f4f0-4536-9960-47f7c59d1b4c,1685142,161162315
149,Madonna,79239441-bfd5-4981-a70c-55c3f15c1287,5343747,340318240
150,Halsey,3377f3bb-60fc-4403-aea9-7e800612e060,2621867,206871506
151,Lil Tecca,e6fdf3f9-8077-4126-b0cf-94da9a8b627e,1653505,142576769
152,Blood Orange,e43daa78-3cf3-4cf9-bc27-af4d4e675a02,1807515,90753891
153,Big Thief,9f81247f-7f57-42f3-a8ba-75bef554e591,1523908,107193421
154,BLACKPINK,48646387-1664-4c9a-9139-9bfd091b823c,1831804,289693163
155,Selena Gomez,e4bc69e2-a064-4f93-ada1-f7f209cc1cc3,3004836,192768382
156,Grimes,7e5a2a59-6d9f-4a17-b7c2-e1eedb7bd222,2511598,185729879
157,Chase Atlantic,ecab255c-3af3-4154-87ec-2685041ce297,1703304,176302665
158,Cage the Elephant,b41b38d4-ef3e-4f37-8c75-cfe9af999696,3241151,137515007
159,Ravyn Lenae,94c64122-dbd4-4927-b2fa-f204b0b4b0c2,1423627,36617271
160,Cocteau Twins,000fc734-b7e1-4a01-92d1-f544261b43f5,2123049,149427700
161,aespa,b51c672b-85e0-48fe-8648-470a2422229f,1205107,240949238
162,Evanescence,f4a31f0a-51dd-4fa7-986d-3095c40c5ed9,4245111,204413055
163,Zara Larsson,134e6410-6954-45d1-bd4a-0f2d2ad5471d,1795292,56957485
164,Shakira,bf24ca37-25f4-4e34-9aec-460b94364cfc,4622279,167655801
165,Bring Me the Horizon,074e3847-f67f-49f9-81f1-8c8cea147e8e,2680938,298846378
166,Demi Lovato,faf4cefb-036c-4c88-b93a-5b03dd0a0e6b,3176104,182665693
167,Frank Sinatra,197450cd-0124-4164-b723-3c22dd16494d,4667654,166912780
168,MGMT,c485632c-b784-4ee9-8ea1-c5fb365681fc,5068858,210427674
169,girl in red,4ae429fe-735c-4968-8253-a591421b1bd0,2316502,106539306
170,Men I Trust,25ab7547-a4d2-480b-b028-c7f3497bc858,2027850,114339753
171,Baby Keem,81d12ca7-5b89-4d21-8736-860b7400b4eb,1886328,180238339
172,Malcolm Todd,6c2a79b8-2b5c-4c2d-b495-6a446811bf9d,857205,42083381
173,Avril Lavigne,0103c1cc-4a09-4a5d-a344-56ad99a77193,4926749,255417894
174,Imagine Dragons,012151a8-0f9a-44c9-997f-ebd68b5389f9,3892957,239254555
175,Slowdive,a16371b9-7d36-497a-a9d4-42b0a0440c5e,2038499,133926212
176,Alice in Chains,4bd95eea-b9f6-4d70-a36c-cfea77431553,3288978,201080734
177,Imogen Heap,328d146c-79f1-4eb6-9e40-8ee5710c14e5,2851151,83465470
178,Elton John,b83bc61f-8451-4a5d-8b8e-7e9ed295e822,5009483,154135835
179,Korn,ac865b2e-bba8-4f5a-8756-dd40d5e39f46,3257056,232602164
180,Mariah Carey,494e8d09-f85b-4543-892f-a5096aed1cd4,4771133,236984444
181,Three Days Grace,fabb37f8-eb2a-4cc1-a72a-b56935bbb72d,3698984,171380210
182,bbno$,27638856-79a1-4495-b7da-1912899560c7,1333943,56823205
183,Jennie,d32de3a1-01f0-430e-859a-72307724041c,1325751,90728005
184,50 Cent,8e68819d-71be-4e7d-b41d-f1df81b01d3f,4694859,109292508
185,5 Seconds of Summer,830e5c4e-6b7d-431d-86ab-00c751281dc5,2107431,183144018
186,Ken Carson,84d4283e-903a-42c4-a0d2-d3949bfa1f3f,1068363,247673620
187,The Police,9e0e2b01-41db-4008-bd8b-988977d6019a,4296321,101883554
188,Dominic Fike,e337c918-098f-418e-97a2-81dc224b1bf9,2145081,128380052
189,Lil Yachty,a668565b-41b8-44a8-9d5c-8e609dbf69fc,1712064,122428110
190,Troye Sivan,e5712ceb-c37a-4c49-a11c-ccf4e21852d4,2307555,158619698
191,Florence + the Machine,5fee3020-513b-48c2-b1f7-4681b01db0c6,3755614,262610524
192,The Rolling Stones,b071f9fa-14b0-4217-8e97-eb41da73f598,5657948,263678236
193,Usher,3414d446-735a-443c-931f-10634f57e5b9,4797625,95873210
194,d4vd,d8e07579-ff5a-41f2-b7a7-c71880b8287a,2166765,104853066
195,Lizzy McAlpine,ee0b11de-0c8a-4267-9886-198f4579e1db,1265683,91580160
