"mbid","clustering_local","triangles","open_wedges","gwesp_contrib","degree","eigencentrality","pagerank","kcore","betweenness","closeness","same_genre_share"
"937389d5-d59e-4233-86d8-dacba3d5270c",1,1,0,0,2,2.6600210633502e-17,0.000377683139381616,2,0,0.666666666666667,1
"eb3fdcb8-6607-41d5-9387-edd648f38bc2",1,1,0,0,2,4.57005714087647e-17,0.000387611922942527,2,0,1,0.5
"5501517e-57b6-46e3-9736-e49ee657da7b",0,0,0,0,1,0,0.000186848354919147,1,0,0.538461538461538,1
"6bf692e0-baac-4428-94c3-423d52508cf0",1,6,0,0,4,2.31336092449507e-17,0.000387611922942844,4,0,1,1
"9b71ad4a-df8e-4142-88f8-4d757ba18f55",0,0,0,0,1,5.04293902526917e-05,0.000105564789673632,1,0,0.163653439774595,1
"5c6394b5-3af5-43f2-83c0-a061750ad233",1,3,0,0,3,1.23518520534621e-17,0.000431188511351086,3,0,0.636363636363636,1
"2aaf7396-6ab8-40f3-9776-a41c42c8e26b",0,0,0,0,0,5.25564033535461e-19,5.81417884416849e-05,0,0,0,0
"b7ffd2af-418f-4be2-bdd1-22f8b48613da",0,0,0,0,1,0.000114781063949311,0.000117679450574695,1,0,0.175743822491175,0
"1d01b5f5-182a-4558-a057-2f3a109cdbcf",0.4,4,6,0,5,0.00948763512251574,0.000270663514764437,4,0.00106339581439904,0.209876543209877,0.6
"784bf112-03cd-444a-af31-0d63e7ea651f",1,6,0,0,4,1.01755530091465e-17,0.000359533009487941,4,0,0.833333333333333,1
"3798b104-01cb-484c-a3b0-56adc6399b80",1,6,0,0,4,3.67351766027978e-18,0.000355099732579195,4,0,0.666666666666667,1
"c0050289-6969-437d-be83-0fcb608ead5c",1,3,0,0,3,4.3413245164912e-17,0.000387611922942939,3,0,1,1
"fde17fa5-3238-439f-ab1c-c37671e3c3b3",0.7,7,3,0,5,6.18579630021829e-05,0.000361800721522393,4,3.81426075812247e-07,0.163730326521024,1
"697d4510-c3fe-4e96-bcc9-34739bccde8f",0,0,0,0,0,5.25564033535461e-19,5.81417884416849e-05,0,0,0,0
"fa4b5ec6-5f3b-48a8-9fc2-c714f9781ecd",1,36,0,0,9,0.027572602054887,0.000326493823403557,9,0,0.22386381885338,0.888888888888889
"7b46472b-adda-4a9e-a6e7-824dedff9200",0,0,0,0,0,5.25564033535461e-19,5.81417884416849e-05,0,0,0,0
"c1a18927-020f-4241-a08c-53d2630473b8",0.361904761904762,38,67,0,15,0,0.000882792238233787,8,1.55113270830314e-05,0.941176470588235,1
"e5e045da-59a3-4b65-8bb4-3c7f3ac9a529",0,0,0,0,0,5.25564033535461e-19,5.81417884416849e-05,0,0,0,0
"39352b9b-e3f0-46f4-8c69-ef17d541e603",1,6,0,0,4,8.65618178390508e-18,0.000353645929695472,4,0,0.666666666666667,1
"e780a5a7-a7ce-4390-983e-0171b91e15c1",1,28,0,0,8,0.0104519943062826,0.000386467098215975,8,0,0.197702453552688,0.875
"f213b312-92d8-4180-8483-02f26063cba5",0,0,0,0,1,1.62721389162807e-11,0.000160401556697047,1,0,0.0938720538720539,0
"9034f787-3e79-44fe-89c1-8a082d556eec",1,190,0,0,20,0.903585867658377,0.000507526612084782,20,0,0.210161314638927,0.85
"60ae155f-2d68-49d5-90cf-8093f80dd046",1,66,0,0,12,0.000147232549962945,0.000412783089902136,12,0,0.170749632533072,0.916666666666667
"fe7e6678-935e-44d6-87ce-87ce7d948a5f",0,0,0,0,1,4.56806409982099e-17,0.000387611922942887,1,0,1,1
"91a81925-92f9-4fc9-b897-93cf01226282",0,0,0,0,0,5.25564033535461e-19,5.81417884416849e-05,0,0,0,0
"5157aeef-07da-41b5-b16c-5c5fb81b4f75",1,3,0,0,3,3.9808369122398e-17,0.000387611922942939,3,0,1,1
"b4691384-50c3-4afd-9988-51d3ec5db65d",0,0,0,0,1,4.39040701610788e-17,0.000387611922942887,1,0,1,1
"fe73aa73-4e0f-439e-97dc-3bf0bfaecbe2",1,15,0,0,6,0.00464519795128208,0.000350087311002712,6,0,0.188837713356814,0.833333333333333
"e8c7f193-0db6-4175-a469-ebce1c340429",1,10,0,0,5,2.2306581245029e-17,0.000397773187200991,5,0,0.358974358974359,1
"789f6768-5830-4b08-8b4f-f38566b2eb1d",0,0,0,0,1,3.96914849107908e-17,0.000387611922942887,1,0,1,1
"463b50bc-3384-4991-b2a9-5dc573e89291",1,1,0,0,2,0.000169023466302549,0.000183743946629539,2,0,0.174228221472316,0.5
"4e5119da-3d88-40e1-9aff-ddf660ff715b",1,3,0,0,3,3.44747360822112e-17,0.000387611922942939,3,0,1,1
"22192191-5e78-4339-8406-62d2d9590b39",1,6,0,0,4,0.00317429003661762,0.000204263203403179,4,0,0.202852153667055,0.5
